# source: results/v1,v2/raw.jsonl sha256=2a0e37ef55f113276a24c2d0729964b46767a9dddd204cf87ca5da90ae4af91d
model,condition,k,n,p,lo,hi,p_adjacent,p_distant
anthropic/claude-sonnet-4.6,none,104,276,0.37681159420289856,0.3217006077165265,0.4353047839050194,0.375,0.37777777777777777
anthropic/claude-sonnet-4.6,time_schema,103,276,0.37318840579710144,0.318235213020123,0.43162327835499775,0.4375,0.3388888888888889
anthropic/claude-sonnet-4.6,note_schema,103,276,0.37318840579710144,0.318235213020123,0.43162327835499775,0.375,0.37222222222222223
anthropic/claude-sonnet-4.6,exit_schema,91,276,0.32971014492753625,0.2769178173233022,0.3871778710947172,0.375,0.3055555555555556
anthropic/claude-sonnet-4.6,exit_prose,107,276,0.38768115942028986,0.33211668944219447,0.4463294029186268,0.3854166666666667,0.3888888888888889
anthropic/claude-sonnet-4.6,exit_both,99,276,0.358695652173913,0.30440731071049,0.4168635796789303,0.46875,0.3
anthropic/claude-sonnet-4.6,filler_prose,114,276,0.41304347826086957,0.3565348155526689,0.47193957853312823,0.375,0.43333333333333335
deepseek/deepseek-chat,none,69,252,0.27380952380952384,0.2224592662526387,0.3319525260438448,0.32142857142857145,0.25
deepseek/deepseek-chat,time_schema,86,252,0.3412698412698413,0.2855047832785992,0.40180173763121374,0.35714285714285715,0.3333333333333333
deepseek/deepseek-chat,note_schema,101,252,0.4007936507936508,0.3422139712628597,0.4623526043057734,0.35714285714285715,0.4226190476190476
deepseek/deepseek-chat,exit_schema,93,252,0.36904761904761907,0.31185096800965995,0.43017691174093575,0.36904761904761907,0.36904761904761907
deepseek/deepseek-chat,exit_prose,67,252,0.26587301587301587,0.21513765400585838,0.3236394643361157,0.32142857142857145,0.23809523809523808
deepseek/deepseek-chat,exit_both,103,252,0.4087301587301587,0.3498454907357621,0.47035575878738034,0.5595238095238095,0.3333333333333333
deepseek/deepseek-chat,filler_prose,64,252,0.25396825396825395,0.20419650791526464,0.31112859949494537,0.2976190476190476,0.23214285714285715
